talkID,character,talk,tran,production,ID,next
1,,먼저 너의 캐릭터를 선택해보자!,0 0,pause,1,
1,,1번 키를 눌려서 너의 캐릭터를 선택해봐,0 0,moveLock\skillLock\turnLock,1,chPick
1,,선택된 캐릭은 화살표키로 한칸씩 이동할 수 있어,0 0,chPickLock\skillLock\turnLock,1,move
1,,이건 현제 턴수를 표시한거야,0 0,pause,1,
1,,턴은 한턴에 공격턴과 방어턴을 번갈아 가면서 진행해,0 0,pause,1,
1,,현제 턴은 공격턴이야,0 0,pause,1,
1,,공격턴일때는 이동을 하는데 이동횟수를 소모하고/이동횟수가 부족하면 이동 할 수 없어,0 0,pause,1,
1,,이동횟수는 턴이 바뀔때마다 회복해서 최대 4개까지 모을수 있어,0 0,pause,1,
1,,턴 종료 또는 P키를 눌려서 수비턴으로 넘어가보자 ,0 0,moveLock\skillLock,1,turn
1,,수비턴이 되었어/잠깐! 적이 공격을 시도하고 있어!,0 0,pause,2,
1,,수비턴에도 너의 캐릭터는 행동할 수 있어!/오히려 공격턴보다 더 자유롭게 행동할 수 있을거야,0 0,pause,2,
1,,선택된 캐릭터를 이동시켜 공격을 피해보자,0 0,pause,2,
1,,수비턴일때는 이동을 하는데 이동횟수를 소모하지 않아/ 마음껏이동해봐,0 0,pause,2,
1,,수비턴은 자동으로 끝나/공격턴이 돌아왔어,0 0,pause,3,
1,,이번에는 너가 공격을 해보자,0 0,pause,3,
1,,공격스킬을 써보자 Q키를 눌러봐,0 0,moveLock\chPickLock\turnLock,3,skillPick
1,,"마우스로 공격스킬의 방향, 위치, 타겟을 정할수 있어",0 0,pause,3,
1,,마우스를 클릭하면 공격스킬이 결정이 될거야,0 0,pause,3,
1,,잠깐! 만약 스킬범위에 적이 없다면/취소 버튼 또는 @키를 눌려서 선택한 스킬을 취소한뒤/캐릭을 이동시켜두고 다시 Q스킬을 써보자,0 0,chReset\turnLock,3,skillCast
1,,혹시 다른 스킬 쓴건 아니지?,0 0,moveLock\turnLock\skillLock,3,
1,,스킬은 효과적이지만 스킬을 쓰기 위해서는 마나가 필요하고 쿨타임도 있어/스킬은 적재적소에 쓰는게 중요해,0 0,pause,3,
1,,다음에는 주의해줬으면해,0 0,"pause,chReset",3,
1,,다시 수비턴으로 넘어가볼까?/어떻게 턴을 바꾸는지 잘 기억하고 있지?,0 0,moveLock\skillLock,4,turn
1,,잠깐! 적이 다시 공격을 할려고해! 빨리 수비스킬을 써서 막아내자!,0 0,pause,4,
1,,수비턴에도 스킬을 쓸수 있어!,0 0,pause,4,
1,,다만 수비턴에서는 수비스킬만 사용가능하고/수비스킬은 키를 누르는 즉시 자신 또는 자동으로 타겟을 지정해서 사용되,0 0,pause,4,
1,,적의 스킬이 적중하는 타이밍에 맞춰서 스킬을 써보자,0 0,pause,4,
,,불러올 대사가 없어,0 0,,,
,,불러올 스토리가 없어,,,,
